Card 1,Card 2,Card 3,Card 4,Card 5,Hand
King Spades,Ace Clubs,7 Clubs,6 Heart,5 Spades,Nothing in hand
7 Spades,Ace Clubs,4 Clubs,9 Clubs,Ace Diamonds,One pair
2 Heart,3 Diamonds,5 Heart,7 Diamonds,10 Heart,Nothing in hand
8 Heart,3 Spades,5 Clubs,Queen Clubs,10 Diamonds,Nothing in hand
Ace Heart,King Heart,Jack Clubs,10 Clubs,7 Heart,Nothing in hand
6 Spades,Jack Heart,3 Spades,5 Diamonds,Ace Diamonds,Nothing in hand
Jack Clubs,9 Diamonds,9 Heart,Ace Diamonds,Queen Heart,One pair
3 Diamonds,5 Diamonds,10 Clubs,Jack Spades,Ace Heart,Nothing in hand
King Spades,2 Diamonds,2 Spades,4 Heart,9 Heart,One pair
8 Clubs,4 Spades,King Diamonds,3 Heart,Ace Diamonds,Nothing in hand
7 Clubs,Ace Diamonds,4 Heart,8 Spades,King Spades,Nothing in hand
Queen Diamonds,7 Clubs,3 Heart,3 Diamonds,3 Clubs,Three of a kind
3 Clubs,King Clubs,2 Diamonds,Ace Clubs,Jack Clubs,Nothing in hand
6 Spades,Ace Clubs,Queen Clubs,7 Heart,2 Clubs,Nothing in hand
Queen Spades,2 Heart,King Diamonds,8 Heart,9 Clubs,Nothing in hand
9 Diamonds,4 Diamonds,2 Diamonds,Ace Spades,5 Heart,Nothing in hand
5 Heart,3 Heart,7 Spades,5 Spades,8 Heart,One pair
4 Heart,2 Spades,4 Diamonds,Queen Heart,King Diamonds,One pair
7 Clubs,King Diamonds,5 Clubs,Jack Spades,8 Diamonds,Nothing in hand
3 Diamonds,8 Clubs,6 Diamonds,3 Clubs,Jack Diamonds,One pair
9 Heart,3 Clubs,4 Spades,7 Spades,Jack Spades,Nothing in hand
8 Heart,5 Clubs,Jack Diamonds,9 Spades,2 Diamonds,Nothing in hand
Jack Spades,King Heart,4 Spades,7 Clubs,Ace Spades,Nothing in hand
Jack Diamonds,10 Spades,3 Diamonds,10 Diamonds,9 Spades,One pair
9 Spades,2 Clubs,8 Heart,3 Spades,3 Diamonds,One pair
5 Clubs,4 Heart,6 Heart,4 Clubs,8 Clubs,One pair
4 Clubs,Queen Diamonds,8 Heart,8 Diamonds,Ace Spades,One pair
King Spades,5 Spades,8 Diamonds,10 Heart,7 Heart,Nothing in hand
10 Heart,6 Diamonds,6 Clubs,8 Spades,4 Diamonds,One pair
Queen Diamonds,9 Diamonds,7 Clubs,2 Clubs,5 Clubs,Nothing in hand
4 Clubs,8 Spades,7 Diamonds,10 Clubs,4 Diamonds,One pair
8 Heart,3 Heart,10 Diamonds,6 Heart,5 Diamonds,Nothing in hand
2 Diamonds,2 Heart,6 Spades,Jack Spades,5 Heart,One pair
4 Clubs,Jack Heart,King Clubs,5 Heart,6 Clubs,Nothing in hand
King Heart,7 Spades,3 Clubs,Queen Heart,10 Heart,Nothing in hand
10 Diamonds,5 Diamonds,8 Diamonds,Ace Clubs,King Spades,Nothing in hand
3 Spades,5 Clubs,9 Spades,Ace Diamonds,King Clubs,Nothing in hand
7 Heart,3 Diamonds,Queen Spades,Ace Heart,8 Spades,Nothing in hand
2 Clubs,8 Heart,Queen Diamonds,King Heart,Queen Heart,One pair
3 Clubs,Ace Spades,King Spades,Queen Diamonds,7 Spades,Nothing in hand
King Heart,2 Diamonds,9 Spades,8 Spades,5 Diamonds,Nothing in hand
Ace Clubs,4 Clubs,3 Spades,4 Heart,10 Clubs,One pair
3 Clubs,9 Clubs,King Spades,7 Heart,5 Clubs,Nothing in hand
4 Clubs,King Spades,7 Diamonds,Queen Spades,2 Heart,Nothing in hand
10 Spades,10 Heart,2 Clubs,4 Heart,2 Heart,Two pairs
10 Clubs,2 Spades,4 Spades,Jack Spades,10 Diamonds,One pair
2 Heart,4 Spades,Ace Spades,Queen Spades,3 Spades,Nothing in hand
Ace Clubs,10 Heart,Ace Spades,Jack Diamonds,2 Diamonds,One pair
King Spades,9 Heart,6 Spades,2 Clubs,8 Spades,Nothing in hand
7 Heart,10 Heart,Jack Spades,2 Heart,Jack Clubs,One pair
8 Heart,6 Heart,2 Clubs,2 Heart,Jack Spades,One pair
4 Diamonds,9 Clubs,6 Clubs,8 Diamonds,2 Heart,Nothing in hand
2 Clubs,Jack Heart,King Clubs,7 Spades,Jack Spades,One pair
3 Clubs,4 Diamonds,10 Spades,5 Clubs,5 Diamonds,One pair
3 Diamonds,4 Diamonds,6 Spades,Jack Heart,3 Heart,One pair
9 Spades,Ace Spades,Ace Heart,6 Heart,5 Diamonds,One pair
9 Spades,9 Clubs,Ace Spades,Ace Diamonds,3 Clubs,Two pairs
10 Diamonds,King Diamonds,10 Clubs,3 Clubs,Ace Heart,One pair
4 Diamonds,King Spades,5 Clubs,8 Diamonds,7 Heart,Nothing in hand
King Heart,8 Heart,4 Heart,Ace Spades,3 Heart,Nothing in hand
Ace Heart,8 Spades,10 Diamonds,Ace Clubs,4 Heart,One pair
King Heart,Jack Diamonds,9 Diamonds,9 Clubs,Ace Clubs,One pair
Jack Clubs,2 Spades,7 Spades,7 Diamonds,5 Clubs,One pair
3 Diamonds,4 Clubs,10 Diamonds,4 Spades,10 Spades,Two pairs
2 Heart,Jack Diamonds,8 Spades,4 Clubs,3 Diamonds,Nothing in hand
3 Spades,9 Diamonds,6 Diamonds,Jack Spades,King Clubs,Nothing in hand
Queen Heart,Jack Diamonds,10 Diamonds,5 Heart,2 Heart,Nothing in hand
7 Spades,4 Clubs,8 Diamonds,King Heart,9 Clubs,Nothing in hand
King Spades,5 Heart,3 Clubs,9 Clubs,2 Diamonds,Nothing in hand
9 Spades,Ace Heart,7 Heart,Queen Spades,5 Spades,Nothing in hand
2 Diamonds,Queen Spades,4 Clubs,10 Spades,9 Diamonds,Nothing in hand
6 Diamonds,4 Spades,7 Spades,9 Spades,Jack Heart,Nothing in hand
Ace Diamonds,3 Diamonds,3 Clubs,King Clubs,10 Heart,One pair
8 Clubs,King Heart,4 Clubs,3 Clubs,9 Heart,Nothing in hand
6 Clubs,King Clubs,5 Diamonds,Ace Diamonds,King Heart,One pair
6 Diamonds,8 Spades,King Clubs,3 Heart,7 Diamonds,Nothing in hand
Jack Diamonds,King Diamonds,2 Spades,7 Spades,Ace Spades,Nothing in hand
10 Heart,5 Heart,3 Heart,Jack Clubs,King Diamonds,Nothing in hand
6 Clubs,Ace Clubs,Ace Spades,3 Heart,5 Spades,One pair
5 Heart,4 Spades,4 Clubs,8 Diamonds,King Spades,One pair
Jack Heart,3 Clubs,King Diamonds,7 Spades,10 Heart,Nothing in hand
10 Spades,10 Diamonds,9 Diamonds,Jack Spades,King Heart,One pair
8 Spades,Jack Clubs,5 Heart,Ace Clubs,Queen Heart,Nothing in hand
4 Diamonds,Jack Spades,Jack Clubs,King Spades,3 Clubs,One pair
4 Diamonds,6 Heart,10 Heart,7 Heart,9 Diamonds,Nothing in hand
5 Heart,5 Spades,Queen Diamonds,8 Heart,5 Diamonds,Three of a kind
7 Heart,Ace Clubs,8 Clubs,2 Clubs,7 Spades,One pair
Ace Heart,10 Diamonds,5 Clubs,3 Heart,10 Spades,One pair
Ace Heart,Queen Spades,8 Diamonds,6 Diamonds,Jack Spades,Nothing in hand
5 Heart,6 Diamonds,King Spades,5 Spades,Queen Heart,One pair
Jack Clubs,6 Heart,2 Clubs,10 Clubs,10 Heart,One pair
2 Heart,8 Spades,Ace Diamonds,Jack Spades,6 Heart,Nothing in hand
3 Spades,King Diamonds,4 Spades,6 Heart,6 Clubs,One pair
10 Diamonds,6 Spades,7 Spades,6 Clubs,7 Diamonds,Two pairs
Queen Clubs,9 Heart,5 Spades,3 Heart,3 Diamonds,One pair
4 Diamonds,5 Heart,8 Heart,7 Spades,6 Diamonds,Straight
King Diamonds,8 Diamonds,3 Diamonds,Queen Diamonds,5 Diamonds,Flush
3 Diamonds,4 Spades,8 Spades,Queen Heart,Jack Spades,Nothing in hand
2 Diamonds,Queen Clubs,Queen Diamonds,8 Diamonds,10 Spades,One pair
Ace Heart,5 Clubs,6 Spades,9 Spades,King Spades,Nothing in hand
7 Clubs,Queen Spades,2 Clubs,Ace Spades,3 Diamonds,Nothing in hand
6 Clubs,Ace Heart,7 Spades,8 Diamonds,8 Heart,One pair
4 Heart,7 Spades,Jack Spades,Ace Spades,Queen Diamonds,Nothing in hand
8 Clubs,10 Spades,10 Clubs,Queen Diamonds,3 Heart,One pair
4 Clubs,3 Spades,4 Diamonds,8 Diamonds,6 Clubs,One pair
10 Spades,King Spades,King Clubs,4 Diamonds,7 Clubs,One pair
9 Spades,7 Clubs,7 Spades,2 Clubs,Jack Spades,One pair
8 Heart,2 Clubs,10 Clubs,5 Heart,3 Heart,Nothing in hand
10 Heart,5 Heart,King Clubs,6 Spades,3 Heart,Nothing in hand
2 Spades,3 Clubs,Queen Spades,5 Heart,10 Clubs,Nothing in hand
Jack Heart,10 Clubs,5 Diamonds,4 Clubs,Jack Diamonds,One pair
9 Clubs,8 Spades,Jack Clubs,10 Clubs,3 Diamonds,Nothing in hand
10 Diamonds,Jack Diamonds,10 Spades,7 Diamonds,6 Spades,One pair
3 Clubs,Ace Diamonds,Jack Heart,10 Clubs,5 Diamonds,Nothing in hand
3 Heart,Queen Heart,Ace Spades,3 Clubs,King Clubs,One pair
6 Heart,Queen Heart,2 Spades,3 Diamonds,3 Clubs,One pair
King Diamonds,7 Heart,9 Heart,Queen Clubs,2 Heart,Nothing in hand
Queen Clubs,King Heart,9 Heart,6 Diamonds,8 Clubs,Nothing in hand
5 Heart,6 Spades,10 Diamonds,Queen Spades,Ace Clubs,Nothing in hand
8 Spades,3 Spades,King Spades,2 Spades,10 Clubs,Nothing in hand
9 Clubs,Queen Spades,Jack Heart,Queen Clubs,9 Diamonds,Two pairs
3 Clubs,8 Diamonds,Queen Heart,6 Spades,Queen Clubs,One pair
8 Diamonds,Jack Diamonds,3 Heart,10 Clubs,9 Diamonds,Nothing in hand
9 Heart,Jack Spades,2 Heart,8 Diamonds,3 Spades,Nothing in hand
3 Heart,King Diamonds,Ace Clubs,9 Clubs,Ace Heart,One pair
7 Heart,8 Diamonds,2 Spades,Jack Clubs,7 Diamonds,One pair
Jack Diamonds,2 Clubs,King Spades,Ace Diamonds,7 Heart,Nothing in hand
Queen Clubs,3 Clubs,10 Spades,8 Heart,4 Spades,Nothing in hand
8 Clubs,4 Diamonds,7 Heart,8 Diamonds,2 Heart,One pair
King Spades,3 Diamonds,Queen Spades,4 Heart,2 Diamonds,Nothing in hand
Queen Spades,9 Diamonds,King Diamonds,10 Diamonds,King Spades,One pair
8 Clubs,King Clubs,10 Clubs,8 Diamonds,9 Clubs,One pair
4 Diamonds,3 Clubs,2 Spades,Ace Spades,8 Spades,Nothing in hand
6 Clubs,Ace Diamonds,7 Spades,4 Spades,8 Clubs,Nothing in hand
8 Spades,4 Heart,6 Heart,Queen Spades,7 Heart,Nothing in hand
2 Diamonds,7 Heart,3 Clubs,6 Heart,King Clubs,Nothing in hand
3 Heart,2 Spades,4 Diamonds,Ace Spades,5 Heart,Straight
2 Clubs,2 Diamonds,King Clubs,7 Clubs,9 Spades,One pair
3 Diamonds,7 Diamonds,3 Clubs,3 Spades,4 Spades,Three of a kind
King Clubs,8 Heart,Queen Clubs,Jack Heart,9 Clubs,Nothing in hand
8 Spades,Ace Heart,8 Clubs,8 Heart,10 Heart,Three of a kind
Queen Heart,Ace Clubs,7 Clubs,9 Heart,Ace Diamonds,One pair
King Spades,Ace Clubs,9 Spades,7 Spades,2 Clubs,Nothing in hand
2 Diamonds,8 Clubs,2 Clubs,10 Diamonds,7 Clubs,One pair
5 Clubs,10 Spades,3 Heart,2 Heart,9 Diamonds,Nothing in hand
5 Spades,9 Diamonds,Ace Diamonds,3 Spades,10 Diamonds,Nothing in hand
10 Heart,8 Clubs,Queen Spades,2 Diamonds,2 Clubs,One pair
Queen Heart,10 Heart,7 Clubs,4 Diamonds,8 Diamonds,Nothing in hand
9 Spades,Jack Heart,7 Spades,7 Clubs,8 Heart,One pair
4 Spades,Queen Heart,2 Diamonds,9 Spades,6 Spades,Nothing in hand
King Spades,3 Spades,8 Clubs,King Clubs,Jack Heart,One pair
Queen Spades,7 Diamonds,Queen Diamonds,6 Clubs,8 Spades,One pair
Ace Spades,8 Clubs,6 Diamonds,King Clubs,King Spades,One pair
7 Clubs,Jack Clubs,6 Heart,10 Heart,5 Diamonds,Nothing in hand
4 Heart,6 Spades,Ace Diamonds,8 Heart,7 Heart,Nothing in hand
Jack Spades,5 Heart,9 Diamonds,9 Heart,Ace Clubs,One pair
King Heart,Ace Clubs,5 Heart,2 Heart,Ace Heart,One pair
Jack Spades,10 Heart,Jack Diamonds,2 Diamonds,8 Heart,One pair
6 Heart,9 Spades,4 Spades,Ace Heart,5 Clubs,Nothing in hand
3 Diamonds,5 Clubs,4 Spades,6 Clubs,2 Diamonds,Straight
4 Heart,9 Clubs,Ace Heart,8 Heart,Ace Diamonds,One pair
8 Spades,3 Clubs,9 Diamonds,King Clubs,6 Spades,Nothing in hand
10 Clubs,2 Spades,10 Spades,Jack Heart,3 Spades,One pair
6 Clubs,3 Heart,Ace Diamonds,2 Spades,4 Heart,Nothing in hand
8 Diamonds,7 Heart,3 Spades,6 Heart,Queen Diamonds,Nothing in hand
6 Diamonds,Ace Spades,9 Spades,10 Heart,Jack Clubs,Nothing in hand
9 Diamonds,7 Spades,10 Diamonds,6 Diamonds,Ace Spades,Nothing in hand
Queen Spades,6 Clubs,4 Clubs,3 Heart,Jack Diamonds,Nothing in hand
4 Diamonds,King Diamonds,7 Heart,Queen Diamonds,9 Spades,Nothing in hand
6 Diamonds,4 Diamonds,3 Diamonds,5 Clubs,4 Heart,One pair
10 Clubs,8 Spades,8 Diamonds,7 Clubs,9 Clubs,One pair
Ace Spades,2 Diamonds,3 Diamonds,6 Diamonds,10 Clubs,Nothing in hand
Queen Diamonds,King Spades,9 Heart,9 Spades,Jack Diamonds,One pair
2 Clubs,9 Clubs,4 Diamonds,10 Spades,5 Heart,Nothing in hand
Ace Spades,5 Clubs,6 Spades,Jack Heart,Queen Spades,Nothing in hand
King Heart,4 Heart,10 Diamonds,6 Heart,5 Heart,Nothing in hand
Queen Clubs,5 Spades,Ace Clubs,7 Heart,6 Diamonds,Nothing in hand
10 Spades,8 Heart,5 Diamonds,5 Clubs,Queen Clubs,One pair
3 Diamonds,2 Heart,Queen Clubs,6 Diamonds,4 Clubs,Nothing in hand
3 Diamonds,4 Clubs,Queen Diamonds,6 Heart,7 Heart,Nothing in hand
4 Diamonds,5 Diamonds,8 Spades,Queen Heart,7 Clubs,Nothing in hand
8 Diamonds,King Diamonds,10 Spades,6 Diamonds,7 Clubs,Nothing in hand
6 Diamonds,King Heart,6 Heart,5 Clubs,5 Diamonds,Two pairs
10 Heart,Ace Heart,5 Diamonds,4 Clubs,6 Clubs,Nothing in hand
4 Diamonds,5 Spades,6 Heart,7 Heart,9 Clubs,Nothing in hand
9 Diamonds,Ace Clubs,7 Diamonds,King Spades,7 Heart,One pair
Queen Heart,Ace Spades,9 Clubs,King Spades,7 Heart,Nothing in hand
Ace Spades,Queen Spades,5 Heart,2 Heart,7 Diamonds,Nothing in hand
Queen Diamonds,Queen Spades,5 Diamonds,King Clubs,10 Diamonds,One pair
3 Spades,4 Spades,King Clubs,Queen Diamonds,9 Clubs,Nothing in hand
7 Spades,7 Clubs,4 Diamonds,6 Spades,5 Spades,One pair
8 Heart,8 Clubs,2 Clubs,Jack Diamonds,9 Diamonds,One pair
3 Spades,7 Clubs,King Diamonds,8 Diamonds,Ace Diamonds,Nothing in hand
3 Clubs,Ace Clubs,10 Heart,Queen Spades,9 Clubs,Nothing in hand
King Spades,6 Spades,Queen Spades,5 Diamonds,6 Heart,One pair
King Heart,9 Heart,4 Clubs,Ace Heart,4 Diamonds,One pair
4 Heart,5 Clubs,King Clubs,Queen Spades,4 Diamonds,One pair
4 Heart,4 Diamonds,9 Diamonds,Queen Diamonds,Jack Clubs,One pair
9 Heart,8 Diamonds,Queen Spades,8 Heart,7 Spades,One pair
9 Diamonds,10 Clubs,2 Spades,Ace Spades,7 Spades,Nothing in hand
5 Heart,Queen Diamonds,Jack Spades,2 Heart,4 Spades,Nothing in hand
10 Clubs,9 Clubs,2 Heart,Ace Clubs,8 Diamonds,Nothing in hand
Jack Clubs,7 Spades,Jack Diamonds,Queen Spades,Jack Spades,Three of a kind
2 Diamonds,King Heart,Jack Diamonds,5 Heart,8 Diamonds,Nothing in hand
King Spades,7 Clubs,9 Heart,Jack Spades,3 Spades,Nothing in hand
Queen Spades,9 Clubs,Ace Heart,4 Heart,Ace Diamonds,One pair
Ace Spades,Jack Heart,10 Spades,Ace Diamonds,9 Spades,One pair
7 Spades,7 Heart,Queen Heart,Ace Diamonds,6 Spades,One pair
3 Clubs,3 Diamonds,King Spades,Ace Diamonds,4 Clubs,One pair
Ace Clubs,King Heart,10 Clubs,8 Heart,3 Clubs,Nothing in hand
3 Diamonds,8 Diamonds,7 Clubs,3 Heart,Jack Spades,One pair
10 Heart,Jack Clubs,3 Diamonds,5 Spades,2 Heart,Nothing in hand
9 Heart,Queen Diamonds,2 Heart,6 Heart,King Spades,Nothing in hand
6 Spades,King Clubs,King Diamonds,Queen Heart,2 Clubs,One pair
4 Clubs,Jack Heart,5 Spades,3 Spades,2 Spades,Nothing in hand
3 Diamonds,3 Clubs,8 Spades,9 Spades,6 Diamonds,One pair
2 Clubs,Ace Spades,7 Diamonds,Ace Clubs,4 Clubs,One pair
Ace Clubs,Jack Spades,9 Clubs,Ace Diamonds,9 Spades,Two pairs
3 Clubs,2 Diamonds,King Clubs,5 Heart,Queen Spades,Nothing in hand
Queen Spades,9 Heart,7 Clubs,King Clubs,Queen Clubs,One pair
2 Spades,5 Clubs,8 Diamonds,Queen Diamonds,6 Spades,Nothing in hand
6 Heart,Jack Clubs,4 Diamonds,9 Diamonds,8 Clubs,Nothing in hand
Ace Clubs,King Spades,Jack Spades,10 Heart,King Heart,One pair
7 Diamonds,10 Diamonds,4 Heart,Jack Heart,Queen Diamonds,Nothing in hand
Jack Clubs,Queen Spades,4 Diamonds,9 Clubs,7 Diamonds,Nothing in hand
King Spades,Ace Spades,5 Clubs,6 Spades,Ace Clubs,One pair
8 Spades,Queen Spades,7 Spades,3 Spades,10 Spades,Flush
King Clubs,5 Clubs,10 Spades,6 Spades,King Heart,One pair
Jack Diamonds,3 Diamonds,Queen Diamonds,6 Diamonds,Queen Spades,One pair
King Clubs,7 Spades,8 Spades,3 Spades,5 Clubs,Nothing in hand
7 Spades,9 Diamonds,8 Heart,Ace Spades,6 Heart,Nothing in hand
7 Heart,10 Diamonds,4 Diamonds,5 Diamonds,Jack Diamonds,Nothing in hand
Ace Clubs,4 Heart,2 Spades,7 Heart,3 Heart,Nothing in hand
Queen Clubs,4 Heart,9 Heart,8 Diamonds,3 Heart,Nothing in hand
6 Diamonds,Ace Clubs,8 Diamonds,7 Spades,3 Spades,Nothing in hand
King Clubs,6 Heart,6 Spades,2 Spades,Queen Diamonds,One pair
10 Clubs,10 Diamonds,7 Spades,King Clubs,6 Clubs,One pair
7 Diamonds,Ace Heart,2 Diamonds,2 Heart,5 Clubs,One pair
6 Spades,2 Diamonds,Ace Heart,8 Heart,10 Clubs,Nothing in hand
6 Spades,Jack Heart,4 Spades,9 Spades,8 Spades,Nothing in hand
Jack Spades,Jack Clubs,4 Clubs,King Diamonds,6 Diamonds,One pair
Ace Spades,5 Spades,9 Diamonds,7 Spades,Queen Heart,Nothing in hand
King Heart,4 Clubs,7 Heart,3 Heart,2 Spades,Nothing in hand
5 Clubs,7 Clubs,Ace Clubs,3 Heart,9 Heart,Nothing in hand
Queen Clubs,9 Spades,8 Heart,9 Clubs,9 Diamonds,Three of a kind
5 Diamonds,2 Clubs,10 Heart,7 Heart,9 Diamonds,Nothing in hand
8 Diamonds,5 Clubs,Jack Clubs,9 Spades,5 Spades,One pair
2 Diamonds,Jack Heart,3 Clubs,7 Heart,10 Diamonds,Nothing in hand
Queen Heart,8 Clubs,2 Clubs,Jack Spades,10 Clubs,Nothing in hand
4 Heart,7 Diamonds,10 Spades,Queen Diamonds,10 Heart,One pair
8 Heart,Queen Spades,5 Spades,9 Spades,9 Heart,One pair
3 Diamonds,10 Heart,2 Spades,8 Spades,6 Heart,Nothing in hand
5 Diamonds,3 Heart,8 Clubs,3 Clubs,9 Diamonds,One pair
5 Heart,Jack Diamonds,5 Clubs,4 Spades,8 Spades,One pair
Ace Clubs,Jack Heart,8 Diamonds,6 Clubs,3 Diamonds,Nothing in hand
7 Clubs,Queen Diamonds,King Diamonds,5 Clubs,Ace Heart,Nothing in hand
8 Clubs,Ace Diamonds,5 Spades,2 Diamonds,Jack Heart,Nothing in hand
4 Diamonds,2 Spades,Jack Clubs,8 Clubs,7 Spades,Nothing in hand
King Spades,10 Heart,10 Diamonds,7 Spades,3 Clubs,One pair
Ace Diamonds,6 Heart,3 Clubs,2 Diamonds,Queen Clubs,Nothing in hand
4 Spades,Jack Heart,10 Clubs,7 Spades,Queen Spades,Nothing in hand
10 Clubs,9 Spades,9 Clubs,7 Spades,4 Clubs,One pair
10 Clubs,6 Clubs,4 Clubs,2 Clubs,8 Clubs,Flush
6 Clubs,Queen Heart,Queen Spades,2 Heart,5 Clubs,One pair
7 Heart,9 Spades,Ace Heart,Queen Clubs,9 Clubs,One pair
3 Spades,8 Diamonds,Ace Spades,5 Diamonds,Queen Diamonds,Nothing in hand
5 Diamonds,King Diamonds,Queen Clubs,Jack Heart,Ace Heart,Nothing in hand
4 Spades,3 Spades,Queen Heart,5 Spades,9 Clubs,Nothing in hand
10 Heart,6 Clubs,King Spades,3 Spades,8 Clubs,Nothing in hand
6 Spades,10 Heart,6 Diamonds,2 Spades,Ace Diamonds,One pair
6 Diamonds,7 Clubs,King Clubs,Ace Heart,Jack Clubs,Nothing in hand
3 Diamonds,3 Spades,Jack Heart,Jack Spades,9 Spades,Two pairs
9 Spades,Jack Heart,9 Clubs,2 Diamonds,Queen Spades,One pair
Jack Heart,Queen Clubs,4 Spades,6 Clubs,5 Heart,Nothing in hand
5 Spades,Jack Diamonds,10 Diamonds,8 Heart,7 Clubs,Nothing in hand
9 Diamonds,Queen Heart,King Diamonds,Ace Clubs,5 Spades,Nothing in hand
Ace Clubs,Queen Diamonds,5 Clubs,3 Clubs,2 Diamonds,Nothing in hand
King Heart,4 Diamonds,6 Diamonds,7 Heart,5 Spades,Nothing in hand
3 Clubs,Ace Spades,Ace Clubs,4 Heart,4 Diamonds,Two pairs
Queen Heart,6 Spades,9 Diamonds,2 Diamonds,5 Diamonds,Nothing in hand
10 Diamonds,Jack Heart,3 Clubs,9 Diamonds,King Clubs,Nothing in hand
2 Clubs,Queen Clubs,3 Spades,2 Heart,Queen Diamonds,Two pairs
Ace Spades,2 Spades,King Spades,8 Heart,Queen Heart,Nothing in hand
8 Spades,8 Clubs,9 Spades,10 Heart,King Heart,One pair
Jack Heart,8 Diamonds,Ace Heart,2 Spades,King Diamonds,Nothing in hand
King Heart,6 Clubs,Queen Heart,6 Diamonds,7 Clubs,One pair
Queen Clubs,5 Spades,8 Heart,Ace Diamonds,7 Heart,Nothing in hand
5 Clubs,2 Diamonds,8 Diamonds,10 Spades,9 Diamonds,Nothing in hand
4 Spades,5 Diamonds,7 Diamonds,3 Heart,3 Diamonds,One pair
9 Spades,9 Clubs,7 Spades,3 Clubs,4 Heart,One pair
5 Spades,10 Heart,9 Diamonds,9 Clubs,2 Heart,One pair
2 Clubs,Ace Spades,Ace Heart,Queen Heart,3 Diamonds,One pair
7 Diamonds,Queen Clubs,4 Spades,Jack Clubs,8 Diamonds,Nothing in hand
10 Heart,Jack Clubs,5 Diamonds,Jack Heart,9 Spades,One pair
5 Diamonds,8 Heart,3 Heart,7 Diamonds,4 Clubs,Nothing in hand
10 Clubs,7 Diamonds,Ace Heart,King Diamonds,6 Diamonds,Nothing in hand
7 Heart,5 Heart,Queen Diamonds,9 Diamonds,2 Heart,Nothing in hand
Jack Diamonds,10 Spades,Ace Spades,4 Spades,10 Clubs,One pair
Queen Heart,7 Diamonds,10 Heart,5 Clubs,Jack Heart,Nothing in hand
King Diamonds,9 Spades,2 Clubs,Ace Heart,10 Clubs,Nothing in hand
King Heart,Ace Diamonds,3 Spades,Jack Heart,3 Heart,One pair
3 Diamonds,King Clubs,8 Diamonds,Jack Diamonds,10 Heart,Nothing in hand
9 Heart,King Clubs,4 Diamonds,6 Diamonds,5 Heart,Nothing in hand
10 Spades,5 Spades,4 Spades,2 Diamonds,Queen Heart,Nothing in hand
9 Diamonds,4 Clubs,5 Diamonds,10 Spades,Ace Diamonds,Nothing in hand
3 Heart,7 Clubs,5 Heart,6 Diamonds,Ace Heart,Nothing in hand
10 Heart,8 Spades,6 Spades,8 Heart,7 Heart,One pair
8 Spades,5 Heart,7 Spades,2 Diamonds,King Spades,Nothing in hand
8 Heart,2 Heart,5 Spades,4 Spades,Queen Diamonds,Nothing in hand
3 Heart,2 Diamonds,3 Clubs,Jack Clubs,9 Clubs,One pair
7 Heart,Queen Heart,Ace Heart,5 Clubs,5 Spades,One pair
8 Diamonds,Queen Heart,6 Heart,6 Spades,4 Spades,One pair
2 Spades,Ace Heart,5 Diamonds,3 Heart,7 Diamonds,Nothing in hand
5 Spades,8 Spades,Jack Heart,6 Clubs,6 Spades,One pair
4 Clubs,Queen Heart,2 Clubs,4 Spades,10 Clubs,One pair
Ace Diamonds,5 Heart,7 Heart,6 Heart,5 Diamonds,One pair
7 Diamonds,6 Spades,9 Clubs,10 Diamonds,King Clubs,Nothing in hand
4 Spades,5 Spades,King Heart,6 Spades,Jack Heart,Nothing in hand
10 Heart,8 Clubs,9 Spades,4 Heart,7 Spades,Nothing in hand
Jack Spades,Queen Spades,8 Clubs,10 Clubs,10 Heart,One pair
7 Clubs,King Clubs,3 Diamonds,King Heart,4 Clubs,One pair
9 Diamonds,Queen Spades,3 Diamonds,7 Heart,3 Clubs,One pair
8 Heart,4 Heart,6 Diamonds,6 Spades,2 Heart,One pair
Ace Spades,7 Heart,Ace Heart,10 Clubs,7 Clubs,Two pairs
10 Heart,7 Spades,10 Diamonds,3 Spades,7 Clubs,Two pairs
6 Clubs,Jack Clubs,Jack Diamonds,4 Clubs,4 Spades,Two pairs
3 Spades,Jack Clubs,9 Diamonds,7 Heart,3 Diamonds,One pair
Jack Spades,10 Clubs,Queen Spades,4 Heart,7 Spades,Nothing in hand
8 Heart,5 Spades,6 Heart,Ace Spades,King Spades,Nothing in hand
3 Spades,9 Spades,4 Diamonds,6 Clubs,4 Clubs,One pair
Queen Spades,9 Diamonds,10 Diamonds,3 Spades,King Diamonds,Nothing in hand
Ace Heart,Jack Spades,King Heart,8 Clubs,4 Diamonds,Nothing in hand
5 Heart,2 Heart,King Diamonds,8 Heart,6 Diamonds,Nothing in hand
6 Clubs,Jack Diamonds,10 Heart,3 Heart,9 Clubs,Nothing in hand
9 Spades,2 Heart,8 Spades,2 Spades,8 Diamonds,Two pairs
Jack Spades,8 Heart,King Spades,4 Diamonds,10 Heart,Nothing in hand
King Spades,Ace Heart,Queen Spades,3 Spades,King Clubs,One pair
8 Diamonds,9 Clubs,2 Diamonds,4 Clubs,7 Spades,Nothing in hand
5 Clubs,6 Heart,4 Clubs,8 Heart,4 Heart,One pair
4 Spades,10 Clubs,5 Diamonds,8 Heart,10 Spades,One pair
10 Diamonds,8 Clubs,Jack Clubs,King Spades,King Clubs,One pair
Queen Spades,8 Spades,Jack Diamonds,8 Heart,7 Clubs,One pair
9 Diamonds,4 Clubs,2 Spades,6 Heart,5 Diamonds,Nothing in hand
